"id","uri"
14471,http://dbpedia.org/ontology/Canal
14472,http://dbpedia.org/ontology/Canoeist
14642,http://dbpedia.org/ontology/Canton
8265,http://dbpedia.org/ontology/capacityFactor
14643,http://dbpedia.org/ontology/Cape
14644,http://dbpedia.org/ontology/Capital
14645,http://dbpedia.org/ontology/CapitalOfRegion
8266,http://dbpedia.org/ontology/captureDate
14646,http://dbpedia.org/ontology/CardGame
14473,http://dbpedia.org/ontology/Cardinal
14647,http://dbpedia.org/ontology/CardinalDirection
8267,http://dbpedia.org/ontology/careerPrizeMoney
14474,http://dbpedia.org/ontology/CareerStation
14235,http://dbpedia.org/ontology/Cartoon
14236,http://dbpedia.org/ontology/Case
14648,http://dbpedia.org/ontology/Casino
14475,http://dbpedia.org/ontology/Castle
14649,http://dbpedia.org/ontology/Cat
14650,http://dbpedia.org/ontology/Caterer
14476,http://dbpedia.org/ontology/Cave
14237,http://dbpedia.org/ontology/CelestialBody
14651,http://dbpedia.org/ontology/Cemetery
8268,http://dbpedia.org/ontology/censusYear
8269,http://dbpedia.org/ontology/centuryBreaks
8338,http://dbpedia.org/ontology/chairperson
14600,http://dbpedia.org/ontology/Chancellor
14652,http://dbpedia.org/ontology/ChartsPlacements
14477,http://dbpedia.org/ontology/Cheese
14478,http://dbpedia.org/ontology/Chef
14292,http://dbpedia.org/ontology/ChemicalCompound
14653,http://dbpedia.org/ontology/ChemicalElement
8270,http://dbpedia.org/ontology/chemicalFormula
14238,http://dbpedia.org/ontology/ChemicalSubstance
14479,http://dbpedia.org/ontology/ChessPlayer
8339,http://dbpedia.org/ontology/childOrganisation
14480,http://dbpedia.org/ontology/ChristianBishop
14654,http://dbpedia.org/ontology/ChristianDoctrine
14481,http://dbpedia.org/ontology/ChristianPatriarch
14655,http://dbpedia.org/ontology/Church
14482,http://dbpedia.org/ontology/Cinema
14656,http://dbpedia.org/ontology/Cipher
14293,http://dbpedia.org/ontology/City
14294,http://dbpedia.org/ontology/CityDistrict
8271,http://dbpedia.org/ontology/classes
14483,http://dbpedia.org/ontology/ClassicalMusicArtist
14295,http://dbpedia.org/ontology/ClassicalMusicComposition
14484,http://dbpedia.org/ontology/Cleric
14197,http://dbpedia.org/ontology/ClericalAdministrativeRegion
14657,http://dbpedia.org/ontology/ClericalOrder
8272,http://dbpedia.org/ontology/closed
14196,http://dbpedia.org/ontology/ClubMoss
4170,http://dbpedia.org/ontology/co2Emission
14166,http://dbpedia.org/ontology/Coach
14658,http://dbpedia.org/ontology/CoalPit
